//--------------------------------------------------------------------------------------------------//
// Time Settings                                                                                    //
// Waiting Time (Min)      	Event Duration (Min)   			- (Min) 		    //
//--------------------------------------------------------------------------------------------------//
0
	3				10				5
end

//--------------------------------------------------------------------------------------------------//
// -			                                                                      	    //
// 	-				-				-	                    //
//--------------------------------------------------------------------------------------------------//
1
	15				3				6
end

//--------------------------------------------------------------------------------------------------//
// Monster Settings                                                                      	    //
// Monster Number	-		-				                            //
//--------------------------------------------------------------------------------------------------//
2
	476		0		1	// Cursed Santa
	466		0		1	// Cursed Goblin
	466		0		1	// Cursed Goblin
	466		0		1	// Cursed Goblin
	466		0		1	// Cursed Goblin
	466		0		1	// Cursed Goblin
	466		0		1	// Cursed Goblin
	466		0		1	// Cursed Goblin
	466		0		1	// Cursed Goblin
	466		0		1	// Cursed Goblin
	466		0		1	// Cursed Goblin
end

//--------------------------------------------------------------------------------------------------//
// Event Schedules                                                                                  //
// Hours (24 Format)   Minutes (59 Format) 						            //
//--------------------------------------------------------------------------------------------------//
3
	0	50
	1	50
	2	50
	3	50
	4	50
	5	50
	6	50
	7	50
	8	50
	9	50
	10	50
	11	50
	12	50
	13	50
	14	50
	15	50
	16	50
	17	50
	18	50
	19	50
	20	50
	21	50
	22	50
	23	50
end

//--------------------------------------------------------------------------------------------------//
// Event Appear                                                                                     //
// Map Number	MinX	MinY	MaxX	MaxY						            //
//--------------------------------------------------------------------------------------------------//
4
	0	66	44	191	197	// Lorencia
	2	111	14	232	125	// Devias
	3	136	53	223	181	// Noria
end
